Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,,,,,,o
Spirits,Monkey 47,,0.9,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,0.9,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Basil Hayden,,0.5,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Jameson,,1,Southern,Bar,Mon,1,No,,,,,,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,0.4,Southern,Bar,Mon,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,0,Southern,Bar,Mon,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Nonino,,0.7,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,16.6,Southern,Bar,Mon,12,No,,,,,,,,,,,,,,,,,,,
Spirits,Evan Williams,,10.4,Southern,Bar,Mon,6,No,,,,,,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,12,Southern,Bar,Mon,6,No,,,,,,,,,,,,,,,,,,,
Spirits,Licor 43,,6.8,Southern,Bar,Mon,6,No,,,,,,,,,,,,,,,,,,,
Spirits,Beefeater,,4.2,Southern,Bar,"Mon, Thur",6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Absolut,,6.8,Southern,Bar,Mon,12,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Grey Goose,,1,Southern,Bar,Mon,3,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Vida,Del Maguey,4.6,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,,,Bar,,,No,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Clase Azul,1,Southern,Bar,,0.2,No,,,,,,,,,,,,,,,,,,,
Spirits,Burrito Mezcal,,,,Bar,,,No,,,,,,,,,,,,,,,,,,,
Water,Acqua Panna,1L,0,Breakthru,Water Cooler,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Water,San Pelegrino,250ml,0,Breakthru,Water Cooler,Tue,0,No,,,,,,,,,,,,,,,,,,,
Water ,San Pelegrino,1L,9,Breakthru,Water Cooler,Tue,6,No,,,,,,,,,,,,,,,,,,,
White Wine,Prosecco,Riondo,10,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Cremant,Gratien & Meyer,12,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Brut,Nicolas Feuillete,3,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Studio by Miravel,13,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Le Fete Du Rose,24,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Carletto,12,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Ruffino Aqua D'Venus,11,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Rapaura Springs,20,Southern,Wine Wall,Mon,,Yes,,,,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Bella Union by Far Niete,6,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Sancerre,Chateau de Sancerre,6,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Albarino,Terras Gauda Abadia,4,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Chardonnay,Sea Sun by Caymus,10,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Chardonnay,The Calling,6,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Happy Hour,19,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
White Wine,Cava,Campo Viejo,115,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,,,,,,
Spirits,Knob Creek,,1.1,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Campari,,2.3,Southern,Bar,Mon,2,No,,,,,,,,,,,,,,,,,,,
Spirits,St. Germain,,13.1,Southern,Bar,Mon,12,No,,,,,,,,,,,,,,,,,,,
Prep,Whole Milk,,1,Chef's Warehouse,Walk-In,"Mon, Thur",1,No,,,,,,,,,,,,,,,,,,,
Prep,Heavy Cream,,7,Chef's Warehouse,Walk-In,"Mon, Thur",3,No,,,,,,,,,,,,,,,,,,,
Mixers,Iced Tea,,0,Chef's Warehouse,Bar,"Mon, Thur",0,No,,,,,,,,,,,,,,,,,,,
Beer,Krombacher NA,,,CBS,Bar,Thur,12,,,,,,,,,,,,,,,,,,,,
Beer,Hop Refresher,Lagunitas,,CBS,Bar,Thur,12,,,,,,,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,1.6,Southern,Bar,Mon,2,Yes,,,,,,,,,,,,,,,,,,,
Juice,Passion Fruit,Real,0.7,Breakthru,Dry Storage,Wed,1,Yes,,,,,,,,,,,,,,,,,,,
Juice,Guava,Real,5,Breakthru,Dry Storage,Wed,1,No,,,,,,,,,,,,,,,,,,,
Bitters,Hell Fire,Bittermans,1.4,Breakthru,Bar,Wed,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Glenlivet,0.4,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,Barrel Finished Gin,Rabbit Hole,1.8,Southern,Bar,Mon,4,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Mint,,0,Chef's Warehouse,Walk-In,"Mon, Thur",1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Blanco,Lunazul,3.8,Southern,Bar,Mon,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Lunazul,9.8,Southern,Bar,Mon,2,No,,,,,,,,,,,,,,,,,,,
Spirits,Sour Apple,Mr. Boston,1.5,Breakthru,Bar,Wed,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Peach,Mr. Boston,0.3,Breakthru,Bar,Wed,0.25,No,,,,,,,,,,,,,,,,,,,
Prep,Cinnamon Sticks,,0.5,Chef's Warehouse,,,,No,,,,,,,,,,,,,,,,,,,
Spirits,Creme de Violet,Giffard,1.2,Breakthru,Bar,Wed,0.5,No,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,
