Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock, Reorder?,,,,,,,,,,,,,,
Spirits,Vida,Del Maguey,Southern,Bar,Mon,4,13.4,No,,,,,,,,,,,,,,
Spirits,Maker's Mark,,Southern,Bar,Mon,1,3.4,No,,,,,,,,,,,,,,
Spirits,Knob Creek,,Southern,Bar,Mon,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,Elijah Craig,,Southern,Bar,Mon,0.5,0.4,Yes,,,,,,,,,,,,,,
Spirits,Bourbon,Angel's Envy,Southern,Bar,Mon,0.5,1.3,No,,,,,,,,,,,,,,
Spirits,Rye,Angel's Envy,Southern,Bar,Mon,0.5,1.3,No,,,,,,,,,,,,,,
Spirits,Rittenhouse,,Southern,Bar,Mon,2,4,No,,,,,,,,,,,,,,
Spirits,Aperol,,Southern,Bar,Mon,6,9.4,No,,,,,,,,,,,,,,
Spirits,Campari,,Southern,Bar,Mon,2,2.4,No,,,,,,,,,,,,,,
Spirits,Grand Marnier,,Southern,Bar,Mon,0,0.6,No,,,,,,,,,,,,,,
Spirits,Luxardo Maraschino Liqueur,,Southern,Bar,Mon,4,13,No,,,,,,,,,,,,,,
Spirits,St. Germain,,Southern,Bar,Mon,12,0,Yes,,,,,,,,,,,,,,
Spirits,Fontbonne,,Southern,Bar,Mon,3,4.7,No,,,,,,,,,,,,,,
Spirits,400 Conejos,,Southern,Bar,Mon,0.5,1.5,No,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,Southern,Bar,Mon,2,2,No,,,,,,,,,,,,,,
Spirits,Dry Vermouth,Foro,Southern,Bar,Mon,2,2.3,No,,,,,,,,,,,,,,
Spirits,Monkey 47,,Southern,Bar,Mon,0.5,1.1,No,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,Southern,Bar,Mon,0,1,No,,,,,,,,,,,,,,
Spirits,Basil Hayden,,Southern,Bar,Mon,0.5,1.6,No,,,,,,,,,,,,,,
Spirits,Jameson,,Southern,Bar,Mon,1,4.7,No,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,Southern,Bar,Mon,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Glenlivet,Southern,Bar,Mon,0.5,0.5,No,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,Southern,Bar,Mon,0,1,No,,,,,,,,,,,,,,
Spirits,Nonino,,Southern,Bar,Mon,0,0.9,No,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,,Bar,,,,No,,,,,,,,,,,,,,
Spirits,Clase Azul,,,Bar,,,,No,,,,,,,,,,,,,,
Spirits,Burrito Mezcal,,,Bar,,,,No,,,,,,,,,,,,,,
Water,Acqua Panna,1L,Breakthru,Water Cooler,Tue,6,23,No,,,,,,,,,,,,,,
Water,San Pelegrino,250ml,Breakthru,Water Cooler,Tue,0,0,No,,,,,,,,,,,,,,
Water ,San Pelegrino,1L,Breakthru,Water Cooler,Tue,6,4,Yes,,,,,,,,,,,,,,
White Wine,Prosecco,Riondo,Southern,Wine Wall,Mon,,12,No,,,,,,,,,,,,,,
White Wine,Cremant,Gratien & Meyer,Southern,Wine Wall,Mon,,28,No,,,,,,,,,,,,,,
White Wine,Brut,Nicolas Feuillete,Southern,Wine Wall,Mon,,5,No,,,,,,,,,,,,,,
White Wine,Rose,Studio by Miravel,Southern,Wine Wall,Mon,,32.5,No,,,,,,,,,,,,,,
White Wine,Rose,Le Fete Du Rose,Southern,Wine Wall,Mon,,21,No,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Carletto,Southern,Wine Wall,Mon,,20,No,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Ruffino Aqua D'Venus,Southern,Wine Wall,Mon,,14.5,No,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Rapaura Springs,Southern,Wine Wall,Mon,,11,No,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Bella Union by Far Niete,Southern,Wine Wall,Mon,,19.5,No,,,,,,,,,,,,,,
White Wine,Sancerre,Chateau de Sancerre,Southern,Wine Wall,Mon,,11,No,,,,,,,,,,,,,,
White Wine,Albarino,Terras Gauda Abadia,Southern,Wine Wall,Mon,,15.5,No,,,,,,,,,,,,,,
White Wine,Chardonnay,Sea Sun by Caymus,Southern,Wine Wall,Mon,,6.5,No,,,,,,,,,,,,,,
White Wine,Chardonnay,The Calling,Southern,Wine Wall,Mon,,14,No,,,,,,,,,,,,,,
White Wine,Rose,Happy Hour,Southern,Wine Wall,Mon,,65.5,No,,,,,,,,,,,,,,
White Wine,Cava,Campo Viejo,Southern,Wine Wall,Mon,,44,No,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,Southern,Bar,Mon,12,22.4,No,,,,,,,,,,,,,,
Spirits,Evan Williams Bonded,,Southern,Bar,Mon,6,12,No,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,Southern,Bar,Mon,6,12,No,,,,,,,,,,,,,,
