Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Keg,Truly,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
Keg,Modelo,,,CBS,Walk-In,Fri,2,Yes,,,,,,,,,,,,,,,,,,,
Keg,Blue Moon,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Studio by Miravel,,Southern,Wine Wall,Mon,8,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Mint,,,Sysco,Walk-In,Wed,1,Yes,,,,,,,,,,,,,,,,,,,
Keg,Krombacher,,,CBS,Walk-In,Fri,2,Yes,,,,,,,,,,,,,,,,,,,
Keg,Guiness,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
Prep,Cinnamon Sticks,,,Sysco,,Wed,2,Yes,,,,,,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
Beer,Krombacher NA,,,CBS,Bar,Thur,12,Yes,,,,,,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,$0.65,$65.00,,,,,,,,,,,,,,,,,
Spirits,Domain Du Canton,,,Southern,Bar,Mon,8,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Creme De Menthe (Green),De Kuyper,,Southern,Bar,Mon,6,Yes,$12.75,,,,,,,,,,,,,,,,,,
Spirits,Creme De Cacao,De Kuyper,,Southern,Bar,Mon,6,Yes,$12.75,,,,,,,,,,,,,,,,,,
Spirits,Rumchata,,,Breakthru,Bar,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Keg,Christmas Ale,Great Lakes,,CBS,Walk-In,Thur,1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Habanero Crystals,,,Restaurant Depot,,,1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Whipped Cream,,,Sysco,,,2,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Ginger Bread Cookies,,,Restaurant Depot,,,3,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Cranberries,,,Sysco,,,2,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Star Anise,,,Sysco,,,1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Rye,Knob Creek,,Southern,Bar,Mon,0.1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Cherry Morello In Brandy,,,Sysco,,,1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Gold Glitter,,,Restaurant Depot,,,1,Yes,,,,,,,,,,,,,,,,,,,
White Wine,Rose,Oyster Bay,,Southern,Bar,Mon ,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Brandy,Mr Boston,,Breakthru,,Wed,0.1,Yes,$10.85,,$0.32,,,,,,,,,,,,,,,,
Spirits,VS,Hennessy,,Breakthru,,Wed,0.3,Yes,$41.25,,$1.65,,,,,,,,,,,,,,,,
Paper Goods,"Cocktail Paper Straws 7""",,,Sysco,,,2,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Frangelico,,,Southern,,,0.5,Yes,$38.32,,$1.16,,,,,,,,,,,,,,,,
