Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Spirits,Small Batch,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Single Barrel,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Lalo Tequila,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Macallan 12,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Macallan 18,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Brugal 1888,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Woodford Reserve,,0.8,Breakthru,Bar,Tue,6,Yes,$57.08,,$1.69,,,,,,,,,,,,,,,,
Spirits,Disaronno,,0.2,Breakthru,Bar,Tue,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Don Julio,4.4,Breakthru,Bar,Tue,1,No,$50.42,,$1.99,,,,,,,,,,,,,,,,
Mixers,Bloody Mary,,5,Sysco,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Tonic Water,,4,Sysco,Bar,Wed,1,No,,,,,,,,,,,,,,,,,,,
Mixers,Coke,,2.5,Sysco,Bar,Wed,4,Yes,$0.79,$18.86,$0.07,,,,,,,,,,,,,,,,
Mixers,Diet Coke,,1.5,Sysco,Bar,Wed,3,Yes,$0.78,$18.72,$0.07,,,,,,,,,,,,,,,,
Mixers,Sprite,,1,Sysco,Bar,Wed,3,Yes,$0.74,$17.82,$0.03,,,,,,,,,,,,,,,,
Mixers,Soda Water,,0,Sysco,Bar,Wed,3,Yes,$1.15,$27.55,$0.11,,,,,,,,,,,,,,,,
Mixers,Ginger Ale,,1,Sysco,Bar,Wed,1,No,,,,,,,,,,,,,,,,,,,
Paper Goods,Bamboo Knot Picks,"4""",0,Sysco,Dry Storage,Wed,3,Yes,$1.54,$30.75,,,,,,,,,,,,,,,,,
Paper Goods,Cocktail Stirrers,,5,Sysco,Dry Storage,Wed,3,No,,,,,,,,,,,,,,,,,,,
Paper Goods,"Straws 7.75""",Hay Straws,1,Sysco,Dry Storage,Wed,3,Yes,$20.27,$121.60,$0.04,,,,,,,,,,,,,,,,
Paper Goods,Beverage Napkins,,0,Sysco,Dry Storage,Wed,4,Yes,$0.03,$29.65,,,,,,,,,,,,,,,,,
Prep,Coco Lopez,15oz,11,Sysco,Dry Storage,Wed,6,No,,,,,,,,,,,,,,,,,,,
Prep,Turbinado Sugar,Sugar In The Raw,8,Sysco,Dry Storage,Wed,4,No,,,,,,,,,,,,,,,,,,,
White Wine,Cava,Campo Viejo,73,Southern,Wine Wall,Mon,50,No,$5.00,$30.00,$0.20,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Carletto,24,Southern,Wine Wall,Mon,8,No,$7.50,$90.00,$0.30,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Rapaura Springs,12,Southern,Wine Wall,Mon,12,No,$9.00,$54.00,$0.35,,,,,,,,,,,,,,,,
White Wine,Chardonnay,Sea Sun by Caymus,17,Southern,Wine Wall,Mon,8,No,$9.00,$108.00,$0.35,,,,,,,,,,,,,,,,
Spirits,Blanco,Don Julio,1.3,Breakthru,Bar,Tue,1,No,$60.03,,$1.78,,,,,,,,,,,,,,,,
Spirits,1942,Don Julio,1.4,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Crown Royal,,1.9,Breakthru,Bar,Tue,0.5,No,$36.95,,$1.09,,,,,,,,,,,,,,,,
Spirits,Black Label,Johnnie Walker,1.3,Breakthru,Bar,Tue,0.5,No,$47.53,,$1.41,,,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Balvenie,0,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Hendrick's,,1.3,Breakthru,Bar,Tue,2,Yes,$47.92,,$1.42,,,,,,,,,,,,,,,,
Spirits,Kaiyo,,4.8,Breakthru,Bar,Tue,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Triple Sec,Mr. Boston,3.7,Breakthru,Bar,Wed,3,No,$7.66,,$0.23,,,,,,,,,,,,,,,,
Spirits,Spiced,Captain Morgan,0.4,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Tito's,,5.6,Breakthru,Bar,Wed,6,Yes,$23.25,$279.00,$0.69,,,,,,,,,,,,,,,,
Spirits,Ketel One,,2.7,Breakthru,Bar,Wed,2,No,$35.73,,$1.06,,,,,,,,,,,,,,,,
Spirits,Meyer's Rum,,1,Breakthru,Bar,Tue,2,Yes,$30.27,,$0.90,,,,,,,,,,,,,,,,
Spirits,Bailey's,,0.4,Breakthru,Bar,Tue,0.1,No,$39.31,,$1.16,,,,,,,,,,,,,,,,
Spirits,Chambord,,0.8,Breakthru,Bar,Tue,0.2,No,$31.03,,$1.31,,,,,,,,,,,,,,,,
Spirits,Rumple Minze,,0,Breakthru,Bar,Tue,0.5,Yes,$35.33,,$1.04,,,,,,,,,,,,,,,,
Water,Acqua Panna,1L,0,Breakthru,Water Cooler,Wed,6,Yes,$2.25,$27.00,$0.07,,,,,,,,,,,,,,,,
